Name,Source URL
sundrys1/fortinet_rules,https://github.com/sundrys1/fortinet_fw
rogeriotadim/collection001,https://github.com/rogeriotadim/ansible-para-sysadmin
itrunsde/logscale_collector,https://github.com/ITrunsDE/LogScaleCollection
michael_bang/eda_ntfy,https://github.com/michael-bang/eda_ntfy
alexbarton/boilerplate,https://github.com/alexbarton/ansible-collection-boilerplate
upnodedev/op,https://github.com/upnodedev/ansible-op-collection
y_kogure_com0/eda,https://github.com/y-kogure-com/event-driven-ansible.git
ttafsir/sqlite_utils,https://github.com/ttafsir/ansible-collection-sqlite-utils
petrzpav/common,https://github.com/internetguru/ansible-roles
iamgini/demo_colelction_roles_modules,https://github.com/iamgini/ansible-collection-demo-roles-modules
brightcomputing/installer100,https://github.com/Bright-Computing/bright-installer-ansible
paritytech/chain,https://github.com/paritytech/ansible-galaxy.git
cunlifs/configure_aix_vms,https://github.com/cunlifs/Configure-AIX-VMs
patbec/shell_test,https://github.com/bec-galaxy/ansible-collection-shell
mighty_sponge/any_sync,https://github.com/anyproto/ansible-anysync
ibm/storage_virtualize,https://github.com/ansible-collections/ibm.storage_virtualize
codeaffen/foreman,https://github.com/theforeman/foreman-ansible-modules
cloin/prometheus,https://github.com/cloin/cloin.prometheus
community/fqcn_migration,https://github.com/ansible-collections/community.fqcn_migration
kimjarvis/ai,https://github.com/kimjarvis/ai
ondrejhome/ha_cluster,https://github.com/OndrejHome/ansible_collection.ha_cluster
shaneholloman/firewall,https://github.com/shaneholloman/ansible-role-firewall
universe/unix,https://github.com/x237net/ansible-universe-unix
infra/lvm_snapshots,https://github.com/swapdisk/lvm_snapshots
alexmkx/mikrotik,https://github.com/AlexMKX/mikrotik-collection
oxivanisher/raspberry_pi,https://github.com/oxivanisher/collection-raspberry_pi.git
oxivanisher/linux_base,https://github.com/oxivanisher/collection-linux_base.git
oxivanisher/linux_desktop,https://github.com/oxivanisher/collection-linux_desktop.git
oxivanisher/windows_desktop,https://github.com/oxivanisher/collection-windows_desktop.git
oxivanisher/linux_server,https://github.com/oxivanisher/collection-linux_server.git
adel_bz/server_config,https://github.com/adel-bz/Server-Auto-Config
torie_coding/keepass,https://github.com/Torie-Coding/keepass
rokku_cz/veeam_multi_vms_backupjob,https://github.com/rokku-cz/veeam_multi_vms_backupjob
hikari661/argostranslate,https://github.com/hikari661/translate
cloudcodger/proxmox_client,https://github.com/cloudcodger/proxmox_client
sumanth_lingappa/adc,https://github.com/netscaler/ansible-collection-netscaleradc
petrzpav/server,https://github.com/internetguru/ansible-roles
manusl_networking/o4n_diff,https://github.com/OctupusCloud/collection_o4n_diff
tonyskapunk/beat,http://github.com/tonyskapunk/beat-ansible-collection
rzfeeser/pokeapi,https://github.com/rzfeeser/ansible-custom-modules-pokeapi
octupus/o4n_ruggedcom_ros,https://github.com/OctupusCloud/collection_o4n_ros
marcosmas28/o4n_ruggedcom_ros,https://github.com/OctupusCloud/collection_o4n_ros
kogeler/chain,https://github.com/paritytech/ansible-galaxy.git
chladic/veeam_multi_vms_backupjob,https://github.com/rokku-cz/veeam_multi_vms_backupjob
itlook/it,https://github.com/itlook/ansible
snowdrop/cloud_infra,https://github.com/snowdrop/ansible-collection-cloud-infra
octupus/o4n_checkpoint_modules,https://github.com/OctupusCloud/collection_o4n_checkpoint_modules.git
huaweidatacom/nce_fabric,https://github.com/HuaweiDatacomm/ac-ansible-module
beyondtrust/secrets_safe,https://github.com/BeyondTrust/ps-integration-ansible
octupus/o4n_checkpoint,https://github.com/OctupusCloud/collection_o4n_checkpoint_modules.git
cloudcodger/proxmox_openssh,https://github.com/cloudcodger/proxmox_openssh
nonsensetwice/digitalocean,http://github.com/nonsensetwice/nonsensetwice.digitalocean
manusl_networking/o4n_cfg_block,https://github.com/OctupusCloud/collection_o4n_cfg_block
manusl_networking/o4n_diffios_template,https://github.com/OctupusCloud/collection_o4n_diffios_template
gaeldb/callback,https://github.com/gaeldb/ansible-callback-report
d_strobel/windows,https://github.com/d-strobel/ansible-collection-windows
robertdebock/bareos,https://github.com/robertdebock/ansible-collection-bareos
bodsch/systemd,https://github.com/bodsch/ansible-collection-systemd
sean_m_sullivan/galaxy,https://github.com/ansible/galaxy_collection
