Name,Source URL
301,https://github.com/markhuge/301-cookbook
aa_consul_template,https://github.com/ashley-abbott/consul_template
aag_infoblox,https://github.com/alaskaairlines/aag_infoblox
abiquo,https://github.com/abiquo/abiquo-cookbook
accel-ppp,https://github.com/frostyslav/chef-accel-pppd
accounts,https://github.com/svanzoest-cookbooks/accounts
acd,https://github.com/rhass/acd
ack,https://github.com/cap10morgan/ack-cookbook
acl,https://github.com/Maks3w/acl-cookbook/
acme,https://github.com/schubergphilis/chef-acme
acmesmith,https://github.com/bitsapien/acmesmith-cookbook
acpi,https://github.com/sliim-cookbooks/acpi
ad-auth,https://github.com/Webtrends/ad-auth
adium,https://github.com/brianhays/adium
ad-join,https://github.com/NetDocuments/ad-join-cookbook
admin-user,https://github.com/hipsnip-cookbooks/admin-user
aegir,https://github.com/yevgenko/cookbook-aegir
aegir2,https://github.com/daften/cookbook-aegir2
aegir3,https://github.com/daften/cookbook-aegir3
aem,https://github.com/tacitknowledge/aem-cookbook
aerospike,https://github.com/bai/cookbook-aerospike
aerospike-cluster,https://github.com/vkhatri/chef-aerospike-cluster
aet,https://github.com/Cognifide/aet-cookbook
afw,https://github.com/jvehent/afw/
agit,https://github.com/aspyatkin/agit-cookbook
air,https://github.com/dhoer/chef-air
airflow,https://github.com/bahchis/airflow-cookbook
airmail,https://github.com/roboticcheese/airmail-chef
aix,https://github.com/chef-cookbooks/aix
al_agents,https://github.com/alertlogic/al_agents
alfred,https://github.com/brianhays/alfred
alfresco,https://github.com/sitle/chef-alfresco
alfresco-appserver,https://github.com/Alfresco/chef-alfresco-appserver
alfresco-db,https://github.com/Alfresco/chef-alfresco-db
alfresco-internal-lb,https://github.com/Alfresco/chef-alfresco-internal-lb
alfresco-transformations,https://github.com/Alfresco/chef-alfresco-transformations
alfresco-utils,https://github.com/Alfresco/chef-alfresco-utils
alfresco-webserver,https://github.com/Alfresco/chef-alfresco-webserver
algosec,https://github.com/algosec/algosec-chef
alphard-chef-artifactory,https://github.com/hydra-technologies/alphard-chef-artifactory
alphard-chef-awscli,https://github.com/hydra-technologies/alphard-chef-awscli
alphard-chef-deploy,https://github.com/hydra-technologies/alphard-chef-deploy
alphard-chef-loggly,https://github.com/hydra-technologies/alphard-chef-loggly
alphard-chef-newrelic,https://github.com/hydra-technologies/alphard-chef-newrelic
alphard-chef-newrelic-infrastructure,https://github.com/hydra-technologies/alphard-chef-newrelic-infrastructure
alphard-chef-s3cmd,https://github.com/hydra-technologies/alphard-chef-s3cmd
alphard-chef-sbt,https://github.com/hydra-technologies/alphard-chef-sbt
alphard-cron,https://github.com/hydra-technologies/alphard-chef
alternate_search,https://github.com/datasift/alternate_search
alternatives,https://github.com/vkhatri/chef-alternatives
alteryx-server,https://github.com/alteryx/cookbook-alteryx-server
ama-docker-compose,https://github.com/ama-team/cookbook-docker-compose
ama-linux-user-management,https://github.com/ama-team/cookbook-linux-user-management
ama-ssh-private-keys,https://github.com/ama-team/cookbook-ssh-private-keys
amazon-ecs-agent,https://github.com/willejs/chef-amazon-ecs-agent
ambari,https://github.com/jp/ambari
anaconda,https://github.com/thmttch/chef-continuum-anaconda
analgesic,https://github.com/redj45/analgesic
