Issue URL,Fix URL,Ecosystem,Created At,Closed At,Config Unit Files Count,Config Unit Lines Added,Config Unit Lines Removed,IAC Program Unit Files Count,IAC Program Unit Lines Added,IAC Program Unit Lines Removed,Test Unit Files Count,Test Unit Lines Added,Test Unit Lines Removed,Template Unit Files Count,Template Unit Lines Added,Template Unit Lines Removed
https://github.com/theforeman/foreman-ansible-modules/issues/30,https://github.com/theforeman/foreman-ansible-modules/pull/42,Ansible,2017-08-15,2017-10-25,5,18,17,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/vyos.vyos/issues/257,https://github.com/ansible-collections/vyos.vyos/pull/258,Ansible,2022-05-17,2022-05-23,1,27,1,0,0,0,1,52,0,0,0,0
https://github.com/ansible-collections/ansible.windows/issues/360,https://github.com/ansible-collections/ansible.windows/pull/373,Ansible,2022-05-23,2022-06-13,1,3,2,0,0,0,1,25,0,0,0,0
https://github.com/ansible-collections/community.general/issues/4373,https://github.com/ansible-collections/community.general/pull/4813,Ansible,2022-03-16,2022-06-13,1,4,1,0,0,0,1,35,0,0,0,0
https://github.com/ansible-collections/ansible.posix/issues/24,https://github.com/ansible-collections/ansible.posix/commit/0118bf0cb9256637684db3f18cbd012d3851065e,Ansible,2020-05-15,2021-07-14,1,5,5,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/hetzner.hcloud/issues/344,https://github.com/ansible-collections/hetzner.hcloud/pull/345,Ansible,2023-10-03,2023-10-04,1,4,0,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/arista.eos/issues/150,https://github.com/ansible-collections/arista.eos/pull/163,Ansible,2021-01-20,2021-02-19,1,3,3,0,0,0,1,1,0,0,0,0
https://github.com/ansible-collections/ansible.windows/issues/375,https://github.com/ansible-collections/ansible.windows/pull/386,Ansible,2022-06-14,2022-07-10,2,4,2,0,0,0,5,20,0,0,0,0
https://github.com/angstwad/docker.ubuntu/issues/39,https://github.com/angstwad/docker.ubuntu/pull/63/,Ansible,2015-05-04,2015-08-31,0,0,0,1,4,0,0,0,0,0,0,0
https://github.com/netbox-community/ansible_modules/issues/703,https://github.com/netbox-community/ansible_modules/pull/707,Ansible,2022-01-21,2022-01-25,1,10,2,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.general/issues/852,https://github.com/ansible-collections/community.general/pull/1223,Ansible,2020-09-02,2020-11-04,3,10,18,0,0,0,2,0,6,0,0,0
https://github.com/containers/ansible-podman-collections/issues/39,https://github.com/containers/ansible-podman-collections/pull/49,Ansible,2020-05-10,2020-06-05,2,87,21,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.zabbix/issues/315,https://github.com/ansible-collections/community.zabbix/pull/346,Ansible,2021-01-22,2021-03-28,0,0,0,2,20,1,0,0,0,0,0,0
https://github.com/prometheus-community/ansible/issues/9,https://github.com/prometheus-community/ansible/pull/10/,Ansible,2022-12-23,2022-12-24,0,0,0,1,0,2,0,0,0,0,0,0
https://github.com/netbox-community/ansible_modules/issues/72,https://github.com/netbox-community/ansible_modules/pull/78,Ansible,2020-01-30,2020-02-08,1,5,0,0,0,0,1,21,2,0,0,0
https://github.com/ansible-collections/amazon.aws/issues/1148,https://github.com/ansible-collections/amazon.aws/pull/1151,Ansible,2022-10-10,2022-10-11,1,24,20,0,0,0,6,238,0,0,0,0
https://github.com/ansible-collections/community.general/issues/997,https://github.com/ansible-collections/community.general/pull/1126,Ansible,2020-09-29,2020-11-06,3,10,4,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.vmware/issues/539,https://github.com/ansible-collections/community.vmware/pull/588,Ansible,2020-12-01,2020-12-29,1,47,43,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.aws/issues/1058,https://github.com/ansible-collections/community.aws/pull/1170,Ansible,2022-04-12,2022-05-30,1,9,2,0,0,0,1,12,0,0,0,0
https://github.com/ansible-collections/community.general/issues/2818,https://github.com/ansible-collections/community.general/pull/2816,Ansible,2021-06-16,2021-06-24,1,342,373,0,0,0,3,126,1,0,0,0
https://github.com/HewlettPackard/oneview-puppet/issues/151,https://github.com/HewlettPackard/oneview-puppet/pull/152,Puppet,2017-05-03,2017-05-03,1,15,6,0,0,0,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-kibana/issues/69,https://github.com/voxpupuli/puppet-kibana/pull/71,Puppet,2023-01-02,2023-02-08,2,30,75,2,14,2,4,26,95,1,0,7
https://github.com/tampakrap/puppet-facter/issues/9,https://github.com/tampakrap/puppet-facter/commit/8b66216d2728213336b472ca1a5e130708a0aca3,Puppet,2015-03-08,2015-05-30,1,10,3,0,0,0,1,11,2,0,0,0
https://github.com/voxpupuli/puppet-bareos/issues/80,https://github.com/voxpupuli/puppet-bareos/pull/115/,Puppet,2021-04-15,2022-10-06,0,0,0,2,2,2,0,0,0,0,0,0
https://github.com/derdanne/puppet-nfs/issues/38,https://github.com/derdanne/puppet-nfs/pull/39,Puppet,2016-09-05,2016-09-08,0,0,0,2,2,6,0,0,0,0,0,0
https://github.com/willdurand/puppet-nodejs/issues/190,https://github.com/willdurand/puppet-nodejs/pull/191,Puppet,2019-10-15,2019-10-17,1,1,1,0,0,0,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-kafka/issues/186,https://github.com/voxpupuli/puppet-kafka/pull/187,Puppet,2017-07-24,2017-07-25,0,0,0,3,4,3,1,0,29,0,0,0
https://github.com/voxpupuli/puppet-jenkins/issues/498,https://github.com/voxpupuli/puppet-jenkins/pull/530,Puppet,2016-02-15,2016-03-08,0,0,0,1,13,1,1,36,1,0,0,0
https://github.com/voxpupuli/puppet-nginx/issues/1158,https://github.com/voxpupuli/puppet-nginx/pull/1159,Puppet,2017-11-21,2017-11-22,0,0,0,2,4,6,1,1,1,0,0,0
https://github.com/voxpupuli/puppet-python/issues/638,https://github.com/voxpupuli/puppet-python/pull/639,Puppet,2022-07-21,2022-09-08,0,0,0,1,8,1,1,37,1,0,0,0
https://github.com/jlambert121/jlambert121-puppet/issues/47,https://github.com/jlambert121/jlambert121-puppet/commit/d2c8527496edfad767979f0ac298ff49e0629e39,Puppet,2016-02-16,2016-03-03,0,0,0,0,0,0,0,0,0,1,2,0
https://github.com/voxpupuli/puppet-consul/issues/211,https://github.com/voxpupuli/puppet-consul/pull/323,Puppet,2016-01-04,2017-02-22,2,11,9,0,0,0,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-mongodb/issues/517,https://github.com/voxpupuli/puppet-mongodb/pull/535,Puppet,2018-11-28,2019-04-08,1,5,0,0,0,0,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-postfix/issues/311,https://github.com/voxpupuli/puppet-postfix/pull/327,Puppet,2021-10-07,2022-12-06,0,0,0,1,14,4,1,80,1,0,0,0
https://github.com/voxpupuli/puppet-gluster/issues/10,https://github.com/voxpupuli/puppet-gluster/pull/11,Puppet,2015-01-23,2015-01-23,0,0,0,1,8,7,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-collectd/issues/428,https://github.com/voxpupuli/puppet-collectd/pull/429/,Puppet,2016-03-17,2016-03-17,0,0,0,1,24,13,0,0,0,0,0,0
https://github.com/theforeman/puppet-dns/issues/141,https://github.com/theforeman/puppet-dns/pull/142,Puppet,2019-05-08,2019-07-16,0,0,0,0,0,0,1,39,0,1,3,1
https://github.com/voxpupuli/puppet-rabbitmq/issues/704,https://github.com/voxpupuli/puppet-rabbitmq/pull/705,Puppet,2018-06-22,2018-06-25,1,1,1,0,0,0,1,9,0,0,0,0
https://github.com/voxpupuli/puppet-python/issues/196,https://github.com/voxpupuli/puppet-python/pull/198,Puppet,2015-05-29,2015-06-13,0,0,0,1,10,0,1,1,0,0,0,0
https://github.com/voxpupuli/puppet-redis/issues/425,https://github.com/voxpupuli/puppet-redis/pull/427,Puppet,2021-10-26,2021-11-16,0,0,0,1,1,1,0,0,0,0,0,0
https://github.com/sous-chefs/php/issues/311,https://github.com/sous-chefs/php/pull/312,Chef,2020-11-09,2020-11-12,0,0,0,1,1,2,2,8,1,0,0,0
https://github.com/chef-boneyard/habitat/issues/106,https://github.com/chef-boneyard/habitat/pull/122,Chef,2018-06-21,2018-09-06,1,5,9,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/samba/issues/48,https://github.com/sous-chefs/samba/pull/49,Chef,2017-02-03,2017-02-04,1,4,4,0,0,0,1,2,0,0,0,0
https://github.com/sous-chefs/java/issues/645,https://github.com/sous-chefs/java/pull/646,Chef,2020-11-24,2020-12-03,3,69,9,0,0,0,1,7,1,0,0,0
https://github.com/DataDog/chef-datadog/issues/338,https://github.com/DataDog/chef-datadog/pull/396,Chef,2016-08-08,2018-10-30,0,0,0,2,4,6,0,0,0,0,0,0
https://github.com/mattray/managed_chef_server-cookbook/issues/35,https://github.com/mattray/managed_chef_server-cookbook/commit/ffcd2d47d31626df288e7c3d0ddf96fe4f443f5d,Chef,2019-12-27,2020-02-06,1,1,0,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/docker/issues/427,https://github.com/sous-chefs/docker/pull/439,Chef,2015-09-16,2015-09-18,1,2,0,0,0,0,3,45,0,0,0,0
https://github.com/poise/poise-python/issues/9,https://github.com/poise/poise-python/commit/ce2a362f8bcb8755a0d26cd75526c72d878a3536,Chef,2015-10-07,2015-10-08,1,1,1,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/homebrew/issues/85,https://github.com/sous-chefs/homebrew/pull/86,Chef,2016-01-07,2016-01-25,2,4,2,2,9,9,1,10,6,0,0,0
https://github.com/sensu/sensu-chef/issues/507,https://github.com/sensu/sensu-chef/pull/508,Chef,2016-09-28,2016-09-29,0,0,0,2,9,7,3,14,0,0,0,0
https://github.com/sous-chefs/firewall/issues/131,https://github.com/sous-chefs/firewall/commit/ca7e1d62bf980752f851e3a7edbfe2b99172130c,Chef,2016-04-11,2016-06-01,1,11,4,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/vagrant/issues/42,https://github.com/sous-chefs/vagrant/pull/51,Chef,2015-10-19,2015-12-18,4,141,87,2,10,6,4,107,3,0,0,0
https://github.com/chef-boneyard/windows/issues/521,https://github.com/chef-boneyard/windows/pull/522,Chef,2018-01-06,2018-01-19,1,2,2,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/chef-splunk/issues/130,https://github.com/sous-chefs/chef-splunk/pull/131,Chef,2019-12-19,2019-12-19,1,2,2,3,2,3,1,3,3,0,0,0
https://github.com/dhoer/chef-selenium/issues/16,https://github.com/dhoer/chef-selenium/commit/eea22e6ca42e3c1f396142ca1bb87e18d3acd3c2,Chef,2015-06-29,2015-06-29,0,0,0,1,8,4,1,12,6,0,0,0
https://github.com/criteo-cookbooks/nexus3/issues/51,https://github.com/criteo-cookbooks/nexus3/pull/52,Chef,2018-02-02,2018-02-19,1,1,1,0,0,0,0,0,0,0,0,0
https://github.com/zuazo/dovecot-cookbook/issues/15,https://github.com/zuazo/dovecot-cookbook/commit/ff84efa5f66472c3f815ceda39885765d6b695b9,Chef,2015-07-15,2015-07-17,0,0,0,2,10,2,5,19,10,0,0,0
https://github.com/nathwill/chef-systemd/issues/117,https://github.com/nathwill/chef-systemd/pull/118,Chef,2017-10-27,2017-10-31,1,0,8,0,0,0,5,51,12,0,0,0
https://github.com/sous-chefs/docker/issues/494,https://github.com/sous-chefs/docker/pull/495,Chef,2015-10-12,2015-10-13,1,4,4,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/cron/issues/80,https://github.com/sous-chefs/cron/pull/92,Chef,2016-05-17,2017-03-13,2,88,66,1,2,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.general/issues/791,https://github.com/ansible-collections/community.general/pull/1105,Ansible,2020-08-17,2020-10-31,1,25,13,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.hrobot/issues/32,https://github.com/ansible-collections/community.hrobot/pull/33,Ansible,2021-12-28,2022-01-04,1,4,1,0,0,0,1,80,13,0,0,0
https://github.com/ansible-collections/junipernetworks.junos/issues/312,https://github.com/ansible-collections/junipernetworks.junos/pull/339,Ansible,2022-06-03,2022-11-16,2,4,4,0,0,0,8,23,23,0,0,0
https://github.com/ansible-collections/community.general/issues/3671,https://github.com/ansible-collections/community.general/pull/3889,Ansible,2021-11-08,2022-10-05,1,1,1,0,0,0,1,3,3,0,0,0
https://github.com/ansible-collections/ansible.posix/issues/210,https://github.com/ansible-collections/ansible.posix/pull/211,Ansible,2021-06-15,2021-09-27,1,4,0,0,0,0,1,40,3,0,0,0
https://github.com/containers/ansible-podman-collections/issues/25,https://github.com/containers/ansible-podman-collections/pull/42,Ansible,2020-04-18,2020-05-15,1,22,4,0,0,0,1,6,1,0,0,0
https://github.com/ansible-collections/azure/issues/871,https://github.com/ansible-collections/azure/pull/872,Ansible,2022-06-01,2022-06-06,1,2,1,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.general/issues/561,https://github.com/ansible-collections/community.general/pull/563,Ansible,2020-06-22,2020-08-21,1,1,1,0,0,0,0,0,0,0,0,0
